timestamp,source,amt,category,gender,hour,probability,decision
2026-08-22T06:45:58.306724+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T06:47:21.233406+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T06:47:30.390352+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T06:47:44.892880+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T07:04:43.077220+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T07:04:50.567716+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T07:05:17.384209+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T07:09:07.806082+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:28:41.162047+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:28:56.287751+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:30:14.519502+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:34:05.361844+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:34:34.128257+00:00,live,50.0,home,F,14,0.0116,genuine
2026-08-22T11:34:54.574448+00:00,live,800.0,shopping_net,F,2,0.962,fraud
2026-08-22T11:37:20.850924+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:45:14.101382+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T11:47:45.980481+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T12:00:51.523252+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-22T12:06:46.778210+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T07:48:56.583329+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T08:06:44.795297+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T08:10:04.972435+00:00,live,50.0,home,F,14,0.0116,genuine
2026-08-23T09:01:51.944651+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T09:44:02.259452+00:00,live,60.0,entertainment,F,12,0.0161,genuine
2026-08-23T09:44:03.855112+00:00,live,60.0,entertainment,F,12,0.0161,genuine
2026-08-23T09:44:06.261540+00:00,live,60.0,entertainment,F,5,0.0161,genuine
2026-08-23T09:44:09.248271+00:00,live,60.0,entertainment,F,21,0.0178,genuine
2026-08-23T09:44:11.997136+00:00,live,60.0,entertainment,F,13,0.0157,genuine
2026-08-23T09:44:16.040270+00:00,live,60.0,food_dining,F,13,0.0209,genuine
2026-08-23T09:44:18.394281+00:00,live,60.0,food_dining,F,19,0.0239,genuine
2026-08-23T09:44:21.254971+00:00,live,60.0,food_dining,F,0,0.0871,genuine
2026-08-23T09:44:25.628802+00:00,live,60.0,food_dining,F,1,0.0886,genuine
2026-08-23T09:44:29.294275+00:00,live,60.0,food_dining,F,22,0.1378,genuine
2026-08-23T09:44:32.764771+00:00,live,60.0,grocery_net,F,22,0.114,genuine
2026-08-23T09:44:37.839478+00:00,live,60.0,home,F,22,0.0729,genuine
2026-08-23T09:44:43.279408+00:00,live,160.0,home,F,22,0.192,genuine
2026-08-23T09:44:52.067360+00:00,live,450.0,home,F,22,0.9162,fraud
2026-08-23T09:53:40.916498+00:00,live,50.0,home,F,14,0.0116,genuine
2026-08-23T10:15:12.133903+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T13:04:31.540698+00:00,live,100.0,entertainment,F,12,0.0358,genuine
2026-08-23T13:05:10.176525+00:00,live,100.0,entertainment,F,12,0.0358,genuine
